t,reward,dopamine,serotonin,rolling_acc,W_mean,choice,truth,pA,pB,score_A,score_B
111,-0.5,0.28402943545471226,0.30271510638728505,0.68,0.29400729574432627,B,A,0.11931409623394708,0.8806859037660529,0.650529220013388,2.649470779986612
112,1.0,0.31982796368197663,0.3096879553234122,0.68,0.2939600535249281,A,A,0.11908131549257936,0.8809186845074207,0.649420630313282,2.650579369686718
113,-0.5,0.2788365654978778,0.3015910757701781,0.68,0.29391830451199497,B,A,0.11928154442504749,0.8807184555749524,0.65037430855093,2.64962569144907
114,1.0,0.3148947372229839,0.3085751650124763,0.69,0.2938702630200298,A,A,0.1920500545117393,0.8079499454882606,0.9316279653421049,2.368372034657895
115,1.0,0.3491500003618347,0.31548941336235153,0.69,0.29381664137904984,A,A,0.3534393864287478,0.6465606135712522,1.3480225266820969,1.9519774733179034
116,-0.5,0.3066925003437429,0.307334519228728,0.69,0.2937665666233052,B,A,0.11944772000156059,0.8805522799984394,0.6511647422958294,2.648835257704171
117,-0.5,0.26635787532655575,0.2992611740364407,0.69,0.29372364789853456,B,A,0.11921402459842116,0.8807859754015789,0.6500528705121195,2.649947129487881
118,-0.5,0.22803998156022795,0.2912685622960763,0.69,0.29368789962379016,B,A,0.11898193684055498,0.881018063159445,0.6489467807947844,2.651053219205216
119,1.0,0.26663798248221654,0.2983558766731155,0.69,0.293646571489827,A,A,0.6112203930603787,0.3887796069396213,1.8762224914906322,1.4237775085093678
120,-0.5,0.22830608335810573,0.29037231790638435,0.68,0.2936104819778174,B,A,0.7968004561393035,0.20319954386069636,2.33320790390622,0.9667920960937797
121,1.0,0.26689077919020043,0.2974685947273205,0.68,0.29356854712323205,A,A,0.7964441927297923,0.20355580727020778,2.332108428391992,0.9678915716080081
122,1.0,0.3035462402306904,0.30449390878004734,0.68,0.2935206753086526,A,A,0.7967609650376111,0.20323903496238885,2.3330859584803045,0.9669140415196953
123,-0.5,0.2633689282191558,0.2964489696922469,0.67,0.2934796041858891,B,A,0.3240707149201603,0.6759292850798397,1.2824366426016354,2.0175633573983647
124,1.0,0.30020048180819797,0.3034844799953244,0.67,0.29343422693806837,A,A,0.7967155515379891,0.20328444846201088,2.332945746971826,0.967054253028174
125,-0.5,0.26019045771778804,0.29544963519537115,0.66,0.2933938201012504,B,A,0.7970282087993596,0.20297179120064038,2.333911531053146,0.9660884689468539
126,1.0,0.2971809348318986,0.30249513884341744,0.66,0.29334743843442695,A,A,0.7966710085326968,0.2033289914673033,2.3328082457259347,0.9671917542740649
127,1.0,0.33232188809030366,0.3094701874549833,0.66,0.29329584473912435,A,A,0.7969843418244559,0.20301565817554407,2.333775961133509,0.9662240388664909
128,1.0,0.3657057936857884,0.31637548558043344,0.66,0.29323851467516115,A,A,0.7972929151860074,0.20270708481399255,2.3347300641995012,0.9652699358004986
129,-0.5,0.32242050400149896,0.3082117307246291,0.65,0.29318776531667873,A,B,0.8290207914444918,0.17097920855550808,2.4393516366276704,0.8606483633723297
130,-0.5,0.281299478801424,0.3001296134173828,0.64,0.2931450392251855,A,B,0.8287051808559559,0.1712948191440442,2.438239149546416,0.861760850453584
